日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150211","0050","元大台灣50","120639150","9275271308","75.90","77.45","75.90","77.20","1.7000","118568"
"1150211","0051","元大中型100","120540","12770073","105.60","106.30","105.55","106.25","0.8500","524"
"1150211","0052","富邦科技","70948219","3253331308","45.20","46.19","45.20","46.07","1.1200","33769"
"1150211","0053","元大電子","31004","5220725","168.15","169.95","167.70","169.05","2.9500","194"
"1150211","0055","元大MSCI金融","236722","7862931","33.17","33.35","33.08","33.35","0.4200","488"
"1150211","0056","元大高股息","121611406","4697086149","38.39","38.77","38.39","38.70","0.3600","42063"
"1150211","0057","富邦摩台","61582","13957405","225.40","227.95","224.60","227.00","4.7000","130"
"1150211","0061","元大寶滬深","178769","4236021","23.75","23.75","23.67","23.70","-0.0500","186"
"1150211","006203","元大MSCI台灣","14888","2063826","138.35","140.00","137.65","139.35","2.9500","111"
"1150211","006204","永豐臺灣加權","23248","3969758","169.25","171.50","169.25","171.00","3.0000","75"
"1150211","006205","富邦上証","541396","22361130","41.30","41.35","41.20","41.30","0.0300","257"
"1150211","006206","元大上證50","89713","3436395","38.38","38.52","38.16","38.39","0.0100","176"
"1150211","006207","復華滬深","205004","6507668","31.79","31.79","31.72","31.72","-0.2100","101"
"1150211","006208","富邦台50","5736809","1020674177","175.70","179.10","175.70","178.65","3.8500","14669"
"1150211","00625K","富邦上証+R","","","","","","","0.0000",""
"1150211","00631L","元大台灣50正2","5078047","2453678996","474.40","488.90","474.40","486.10","16.7500","12847"
"1150211","00632R","元大台灣50反1","87739271","1243585395","14.33","14.33","14.09","14.13","-0.2300","14903"
"1150211","00633L","富邦上証正2","2727731","130901739","48.34","48.40","47.66","47.89","-0.4400","444"
"1150211","00634R","富邦上証反1","108600","352818","3.24","3.25","3.24","3.25","0.0100","10"
"1150211","00635U","期元大S&P黃金","6750302","361683080","53.45","53.70","53.40","53.65","0.3000","5530"
"1150211","00636","國泰中國A50","498194","13340764","26.91","26.91","26.73","26.77","-0.1800","246"
"1150211","00636K","國泰中國A50+U","200","1714","8.57","8.57","8.57","8.57","-0.0400","2"
"1150211","00637L","元大滬深300正2","29534842","581964926","19.90","19.90","19.61","19.65","-0.2200","3324"
"1150211","00638R","元大滬深300反1","88280","615328","6.96","6.98","6.96","6.98","0.0500","17"
"1150211","00639","富邦深100","750183","11562975","15.52","15.54","15.38","15.39","-0.1600","290"
"1150211","00640L","富邦日本正2","1272104","127469386","99.75","100.60","99.75","100.00","1.4000","805"
"1150211","00641R","富邦日本反1","2063774","8279440","4.03","4.04","4.00","4.01","-0.0500","243"
"1150211","00642U","期元大S&P石油","6944898","117845122","16.94","17.02","16.92","16.95","0.0200","1013"
"1150211","00643","群益深証中小","1364582","24500756","18.02","18.02","17.92","17.95","-0.0600","185"
"1150211","00643K","群益深証中小+R","","","","","","","0.0000",""
"1150211","00645","富邦日本","641778","35009671","54.30","54.70","54.30","54.55","0.5000","733"
"1150211","00646","元大S&P500","2502327","172325649","68.90","69.00","68.75","68.80","-0.1000","3872"
"1150211","00647L","元大S&P500正2","40857","4857641","119.05","119.05","118.80","118.80","-0.3500","158"
"1150211","00648R","元大S&P500反1","886301","3809059","4.30","4.31","4.29","4.29","-0.0100","64"
"1150211","00650L","復華香港正2","3797540","73978630","19.47","19.57","19.33","19.51","0.0900","454"
"1150211","00651R","復華香港反1","519790","2601470","5.03","5.03","4.98","4.98","-0.0500","40"
"1150211","00652","富邦印度","348398","13018645","37.60","37.60","37.23","37.28","-0.0900","351"
"1150211","00653L","富邦印度正2","422358","23956381","57.00","57.00","56.55","56.80","-0.1000","154"
"1150211","00654R","富邦印度反1","37500","235339","6.28","6.29","6.27","6.28","0.0100","16"
"1150211","00655L","國泰中國A50正2","2137603","71093855","33.46","33.51","32.99","33.11","-0.3500","301"
"1150211","00656R","國泰中國A50反1","61360","378630","6.14","6.18","6.14","6.17","0.0200","8"
"1150211","00657","國泰日經225","332302","22920360","68.90","69.10","68.85","69.00","1.0000","215"
"1150211","00657K","國泰日經225+U","200","4330","21.65","21.65","21.65","21.65","0.0100","2"
"1150211","00660","元大歐洲50","44329","1955792","44.11","44.16","44.11","44.16","-0.2600","90"
"1150211","00661","元大日經225","463499","34971205","75.40","75.60","75.30","75.45","0.8500","537"
"1150211","00662","富邦NASDAQ","4088064","417580719","102.20","102.30","102.00","102.00","-0.3500","5739"
"1150211","00663L","國泰臺灣加權正2","8896558","560384730","62.00","63.85","61.95","63.40","2.1500","4868"
"1150211","00664R","國泰臺灣加權反1","25339592","58015051","2.32","2.32","2.27","2.28","-0.0400","1493"
"1150211","00665L","富邦恒生國企正2","18210637","207888499","11.41","11.47","11.31","11.44","0.0900","1244"
"1150211","00666R","富邦恒生國企反1","38230","324874","8.52","8.52","8.48","8.50","-0.0300","9"
"1150211","00668","國泰美國道瓊","392040","22636056","57.95","57.95","57.65","57.65","-0.1000","135"
"1150211","00668K","國泰美國道瓊+U","200","3664","18.32","18.32","18.32","18.32","0.0400","2"
"1150211","00669R","國泰美國道瓊反1","2928187","16031610","5.48","5.48","5.47","5.48","-0.0200","191"
"1150211","00670L","富邦NASDAQ正2","1096926","173482093","157.80","158.50","157.80","158.05","-0.1500","1272"
"1150211","00671R","富邦NASDAQ反1","11106150","31837524","2.87","2.88","2.86","2.88","0.0200","244"
"1150211","00673R","期元大S&P原油反1","5560003","139358570","25.12","25.15","25.00","25.09","-0.1000","1255"
"1150211","00674R","期元大S&P黃金反1","5589343","27495708","4.95","4.95","4.91","4.92","-0.0500","327"
"1150211","00675L","富邦臺灣加權正2","3061154","585430466","188.15","193.50","187.95","192.30","6.2000","3565"
"1150211","00676R","富邦臺灣加權反1","5429124","42303088","7.87","7.87","7.74","7.77","-0.1300","906"
"1150211","00678","群益那斯達克生技","437906","15590906","35.74","35.74","35.54","35.57","-0.5100","209"
"1150211","00680L","元大美債20正2","56812982","419282288","7.37","7.39","7.37","7.39","0.1500","2431"
"1150211","00681R","元大美債20反1","30273","621446","20.54","20.54","20.52","20.52","-0.2300","9"
"1150211","00682U","期元大美元指數","5832","115941","19.87","19.88","19.85","19.85","-0.0500","9"
"1150211","00683L","期元大美元指正2","116200","2337935","20.15","20.15","20.10","20.12","-0.0700","19"
"1150211","00684R","期元大美元指反1","130840","2065682","15.78","15.80","15.76","15.80","0.0500","14"
"1150211","00685L","群益臺灣加權正2","1139263","195317257","168.85","173.90","168.85","172.95","5.9000","1118"
"1150211","00686R","群益臺灣加權反1","9613327","13425630","1.42","1.42","1.38","1.39","-0.0200","300"
"1150211","00688L","國泰20年美債正2","24876640","183276413","7.36","7.38","7.36","7.38","0.1600","1157"
"1150211","00689R","國泰20年美債反1","115116","2457583","21.36","21.36","21.34","21.34","-0.2300","7"
"1150211","00690","兆豐藍籌30","672932","35682791","52.40","53.35","52.30","53.25","1.0000","573"
"1150211","00692","富邦公司治理","1968366","132968817","66.90","68.00","66.90","67.80","1.3500","2161"
"1150211","00693U","期街口S&P黃豆","2415681","51664252","21.38","21.45","21.33","21.40","0.2100","584"
"1150211","00700","富邦恒生國企","510173","9616152","18.84","18.90","18.81","18.84","0.0300","175"
"1150211","00701","國泰股利精選30","2360154","69663437","29.45","29.62","29.42","29.57","0.2400","999"
"1150211","00702","國泰標普低波高息","114771","2803724","24.45","24.45","24.42","24.42","0.0600","91"
"1150211","00703","台新MSCI中國","137189","3025987","22.11","22.11","21.90","22.07","-0.0200","70"
"1150211","00706L","期元大S&P日圓正2","3751644","79040333","20.97","21.20","20.97","21.20","0.4900","906"
"1150211","00707R","期元大S&P日圓反1","9100","279456","30.76","30.76","30.64","30.64","-0.5400","8"
"1150211","00708L","期元大S&P黃金正2","6454958","756748697","117.10","117.70","116.55","117.25","1.3000","3414"
"1150211","00709","富邦歐洲","149777","5894029","39.38","39.40","39.32","39.35","-0.1300","260"
"1150211","00710B","復華彭博非投等債","182323","3476036","19.05","19.08","19.03","19.03","-0.0800","59"
"1150211","00711B","復華彭博新興債","111006","1824658","16.43","16.44","16.40","16.40","0.0100","69"
"1150211","00712","復華富時不動產","22878979","212917914","9.31","9.32","9.30","9.31","-0.0100","5650"
"1150211","00713","元大台灣高息低波","19341901","1012799220","52.25","52.50","52.20","52.40","0.3500","10352"
"1150211","00714","群益道瓊美國地產","490607","10301241","21.04","21.04","20.95","20.95","0.2500","131"
"1150211","00715L","期街口布蘭特正2","9966666","252374284","25.21","25.48","25.18","25.25","0.0900","1634"
"1150211","00717","富邦美國特別股","512729","7794593","15.20","15.22","15.16","15.20","0.0000","180"
"1150211","00728","第一金工業30","265870","11373037","42.71","42.92","42.64","42.87","0.5200","333"
"1150211","00730","富邦臺灣優質高息","296554","6703746","22.63","22.69","22.52","22.65","0.0200","378"
"1150211","00731","復華富時高息低波","850237","62186879","72.80","73.25","72.80","73.10","0.6000","467"
"1150211","00733","富邦臺灣中小","1354944","67152238","49.51","49.99","49.12","49.91","0.5400","1046"
"1150211","00735","國泰臺韓科技","1001025","64648108","63.95","65.15","63.60","64.95","0.7500","803"
"1150211","00736","國泰新興市場","128588","3870586","30.05","30.15","29.84","30.13","0.5100","91"
"1150211","00737","國泰AI機器人","237182","8436007","35.50","35.63","35.50","35.57","0.1300","215"
"1150211","00738U","期元大道瓊白銀","17683522","1183005569","66.40","67.40","66.20","66.95","1.1000","8253"
"1150211","00739","元大MSCI A股","87705","2405826","27.45","27.49","27.39","27.44","0.0100","99"
"1150211","00752","中信中國50","2124446","56397126","26.57","26.60","26.46","26.54","0.0300","681"
"1150211","00753L","中信中國50正2","10343786","131148977","12.69","12.74","12.61","12.67","0.0100","1055"
"1150211","00757","統一FANG+","2134002","235365969","110.55","110.60","110.15","110.20","-0.6000","6294"
"1150211","00762","元大全球AI","478131","40157338","84.35","84.35","83.85","83.85","-0.8000","754"
"1150211","00763U","期街口道瓊銅","1774572","57496308","32.37","32.47","32.30","32.46","0.0900","811"
"1150211","00770","國泰北美科技","732441","38813013","53.10","53.10","52.70","52.95","-0.1000","732"
"1150211","00771","元大US高息特別股","145727","2361923","16.25","16.25","16.16","16.21","-0.0500","120"
"1150211","00775B","新光投等債15+","106054","3520674","33.19","33.20","33.18","33.20","0.1900","7"
"1150211","00783","富邦中証500","163114","4683366","28.56","28.79","28.56","28.70","0.1400","112"
"1150211","00830","國泰費城半導體","11896340","675973888","56.90","56.90","56.70","56.80","-0.2000","10519"
"1150211","00850","元大臺灣ESG永續","1534771","97324464","62.65","63.80","62.65","63.70","1.0500","1660"
"1150211","00851","台新全球AI","24434","1381072","56.50","56.75","56.25","56.60","0.4500","132"
"1150211","00852L","國泰美國道瓊正2","121115","3995446","32.99","33.02","32.97","32.97","0.1200","77"
"1150211","00861","元大全球未來通訊","165349","10545369","63.80","63.90","63.60","63.80","0.5000","713"
"1150211","00865B","國泰US短期公債","2452982","116284519","47.50","47.53","47.35","47.36","-0.1400","906"
"1150211","00875","國泰網路資安","219772","8185168","37.07","37.31","37.07","37.21","0.8000","193"
"1150211","00876","元大全球5G","269324","16669016","61.80","62.00","61.70","61.90","0.1000","748"
"1150211","00878","國泰永續高股息","93669300","2187135475","23.23","23.43","23.23","23.41","0.1800","32918"
"1150211","00881","國泰台灣科技龍頭","44869108","1605694684","35.35","36.01","35.34","35.87","0.6100","14790"
"1150211","00882","中信中國高股息","11819819","190311902","16.07","16.15","16.06","16.11","0.0900","2963"
"1150211","00885","富邦越南","6454243","116139052","17.72","18.19","17.72","18.10","0.2200","2121"
"1150211","00891","中信關鍵半導體","27531443","680335603","24.54","24.85","24.53","24.82","0.4100","8788"
"1150211","00892","富邦台灣半導體","1005421","26742637","26.38","26.77","26.38","26.75","0.4600","735"
"1150211","00893","國泰智能電動車","3038507","105368191","34.31","34.81","34.31","34.73","0.4700","1192"
"1150211","00894","中信小資高價30","1567239","50309908","31.86","32.30","31.76","32.27","0.6400","1439"
"1150211","00895","富邦未來車","2162818","91042760","41.81","42.24","41.81","42.17","0.4800","890"
"1150211","00896","中信綠能及電動車","2565923","54499917","20.99","21.35","20.99","21.30","0.3300","1047"
"1150211","00897","富邦基因免疫生技","332005","3197363","9.69","9.69","9.60","9.61","-0.0800","243"
"1150211","00898","國泰基因免疫革命","671066","5449994","8.14","8.14","8.10","8.11","-0.0500","254"
"1150211","00899","FT潔淨能源","191724","4503216","23.50","23.50","23.47","23.48","-0.0400","502"
"1150211","00900","富邦特選高股息30","15673026","226495073","14.40","14.48","14.40","14.45","0.0500","3161"
"1150211","00901","永豐智能車供應鏈","456845","13482911","29.11","29.74","29.11","29.65","0.6300","340"
"1150211","00902","中信電池及儲能","3578807","50863155","14.15","14.24","14.11","14.21","0.0200","806"
"1150211","00903","富邦元宇宙","1030313","17104323","16.66","16.66","16.57","16.57","-0.0900","207"
"1150211","00904","新光臺灣半導體30","4662697","132625879","28.10","28.57","28.10","28.51","0.4600","1500"
"1150211","00905","FT臺灣Smart","2104726","41055431","19.34","19.61","19.34","19.58","0.3000","1321"
"1150211","00907","永豐優息存股","1073973","16793078","15.65","15.66","15.59","15.64","0.0200","319"
"1150211","00908","富邦入息REITs+","289405","4196914","14.48","14.52","14.46","14.50","0.1300","112"
"1150211","00909","國泰數位支付服務","3309506","128998612","39.19","39.25","38.85","38.89","-0.3800","4005"
"1150211","00910","第一金太空衛星","3914808","216379344","55.60","55.60","55.10","55.15","-1.1000","6339"
"1150211","00911","兆豐洲際半導體","309608","11676983","37.87","37.87","37.66","37.71","-0.0200","1137"
"1150211","00912","中信臺灣智慧50","972640","23657887","24.00","24.53","24.00","24.47","0.5000","361"
"1150211","00913","兆豐台灣晶圓製造","1377099","42343796","30.65","30.90","30.65","30.87","0.3100","645"
"1150211","00915","凱基優選高股息30","10327208","249554535","24.12","24.22","24.07","24.14","0.1300","3610"
"1150211","00916","國泰全球品牌50","384085","10271504","26.75","26.77","26.72","26.72","-0.0300","348"
